# Fission Isotope Spectra
#  U235, Pu239, Pu241: Fit Extrapolation of reported Huber's spectra
#  U238: Fit Extrapolation of Muller spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
     4.6       0.161311        0.26688       0.100024       0.148193
    4.61       0.159641       0.264399      0.0988116       0.146521
    4.62       0.157989       0.261942      0.0976136       0.144868
    4.63       0.156353       0.259508      0.0964302       0.143234
    4.64       0.154735       0.257096      0.0952611       0.141618
    4.65       0.153133       0.254706      0.0941062        0.14002
    4.66       0.151548       0.252339      0.0929653        0.13844
    4.67       0.149979       0.249994      0.0918383       0.136878
    4.68       0.148427       0.247671      0.0907249       0.135334
    4.69        0.14689       0.245369       0.089625       0.133807
     4.7        0.14537       0.243088      0.0885384       0.132297
    4.71       0.143865       0.240829       0.087465       0.130804
    4.72       0.142376       0.238591      0.0864046       0.129328
    4.73       0.140902       0.236373      0.0853571       0.127869
    4.74       0.139443       0.234176      0.0843223       0.126426
    4.75          0.138          0.232         0.0833          0.125
    4.76       0.136754       0.229809      0.0822844       0.123759
    4.77       0.135519       0.227638      0.0812812        0.12253
    4.78       0.134295       0.225488      0.0802903       0.121313
    4.79       0.133083       0.223358      0.0793114       0.120109
     4.8       0.131881       0.221249      0.0783444       0.118916
    4.81        0.13069       0.219159      0.0773893       0.117735
    4.82        0.12951       0.217089      0.0764457       0.116566
    4.83        0.12834       0.215038      0.0755137       0.115408
    4.84       0.127182       0.213007      0.0745931       0.114262
    4.85       0.126033       0.210996      0.0736837       0.113128
    4.86       0.124895       0.209003      0.0727853       0.112005
    4.87       0.123767       0.207029      0.0718979       0.110892
    4.88        0.12265       0.205073      0.0710214       0.109791
    4.89       0.121542       0.203136      0.0701555       0.108701
     4.9       0.120445       0.201218      0.0693002       0.107622
    4.91       0.119357       0.199317      0.0684553       0.106553
    4.92       0.118279       0.197434      0.0676207       0.105495
    4.93       0.117211        0.19557      0.0667963       0.104447
    4.94       0.116153       0.193722      0.0659819        0.10341
    4.95       0.115104       0.191893      0.0651775       0.102383
    4.96       0.114065        0.19008      0.0643828       0.101367
    4.97       0.113035       0.188285      0.0635979        0.10036
    4.98       0.112014       0.186507      0.0628225      0.0993635
    4.99       0.111002       0.184745      0.0620566      0.0983769
       5           0.11          0.183         0.0613         0.0974
    5.01       0.108943       0.181203      0.0607183      0.0963717
    5.02       0.107895       0.179425      0.0601422      0.0953542
    5.03       0.106858       0.177663      0.0595715      0.0943475
    5.04       0.105831       0.175919      0.0590063      0.0933514
    5.05       0.104813       0.174192      0.0584464      0.0923658
    5.06       0.103806       0.172482      0.0578918      0.0913906
    5.07       0.102808       0.170789      0.0573425      0.0904258
    5.08        0.10182       0.169112      0.0567984      0.0894711
    5.09       0.100841       0.167452      0.0562595      0.0885265
     5.1      0.0998714       0.165808      0.0557256      0.0875918
    5.11      0.0989113        0.16418      0.0551969      0.0866671
    5.12      0.0979605       0.162568      0.0546731      0.0857521
    5.13      0.0970187       0.160972      0.0541544      0.0848467
    5.14      0.0960861       0.159392      0.0536405      0.0839509
    5.15      0.0951624       0.157827      0.0531315      0.0830646
    5.16      0.0942476       0.156278      0.0526274      0.0821876
    5.17      0.0933415       0.154744       0.052128      0.0813199
    5.18      0.0924442       0.153225      0.0516334      0.0804614
    5.19      0.0915556        0.15172      0.0511435      0.0796119
     5.2      0.0906754       0.150231      0.0506582      0.0787713
    5.21      0.0898037       0.148756      0.0501775      0.0779397
    5.22      0.0889404       0.147296      0.0497014      0.0771168
    5.23      0.0880854        0.14585      0.0492298      0.0763027
    5.24      0.0872386       0.144418      0.0487627      0.0754971
    5.25         0.0864          0.143         0.0483         0.0747
    5.26      0.0854009       0.141507      0.0477034      0.0738334
    5.27      0.0844134        0.14003      0.0471142      0.0729769
    5.28      0.0834373       0.138568      0.0465322      0.0721304
    5.29      0.0824724       0.137121      0.0459575      0.0712936
     5.3      0.0815187        0.13569      0.0453898      0.0704666
    5.31      0.0805761       0.134273      0.0448292      0.0696492
    5.32      0.0796444       0.132872      0.0442754      0.0688412
    5.33      0.0787234       0.131484      0.0437286      0.0680426
    5.34      0.0778131       0.130112      0.0431884      0.0672533
    5.35      0.0769133       0.128753       0.042655      0.0664731
    5.36      0.0760239       0.127409      0.0421281       0.065702
    5.37      0.0751448       0.126079      0.0416077      0.0649398
    5.38      0.0742758       0.124763      0.0410938      0.0641865
    5.39      0.0734169        0.12346      0.0405862      0.0634419
     5.4       0.072568       0.122172      0.0400849       0.062706
    5.41      0.0717288       0.120896      0.0395898      0.0619785
    5.42      0.0708994       0.119634      0.0391008      0.0612596
    5.43      0.0700795       0.118385      0.0386178      0.0605489
    5.44      0.0692692       0.117149      0.0381408      0.0598465
    5.45      0.0684682       0.115926      0.0376697      0.0591523
    5.46      0.0676764       0.114716      0.0372044      0.0584661
    5.47      0.0668939       0.113518      0.0367449      0.0577879
    5.48      0.0661203       0.112333       0.036291      0.0571175
    5.49      0.0653557        0.11116      0.0358427      0.0564549
     5.5         0.0646           0.11         0.0354         0.0558
    5.51      0.0639921       0.108794      0.0351284      0.0551217
    5.52      0.0633898       0.107601      0.0348589      0.0544516
    5.53      0.0627933       0.106421      0.0345915      0.0537897
    5.54      0.0622023       0.105254      0.0343261      0.0531358
    5.55      0.0616169         0.1041      0.0340627      0.0524899
    5.56      0.0610371       0.102959      0.0338014      0.0518518
    5.57      0.0604626        0.10183       0.033542      0.0512215
    5.58      0.0598936       0.100713      0.0332847      0.0505988
    5.59        0.05933       0.099609      0.0330293      0.0499838
     5.6      0.0587716      0.0985168      0.0327759      0.0493762
    5.61      0.0582185      0.0974366      0.0325245      0.0487759
    5.62      0.0576706      0.0963682      0.0322749       0.048183
    5.63      0.0571279      0.0953115      0.0320273      0.0475973
    5.64      0.0565902      0.0942665      0.0317816      0.0470187
    5.65      0.0560577      0.0932328      0.0315378      0.0464471
    5.66      0.0555301      0.0922106      0.0312958      0.0458825
    5.67      0.0550075      0.0911995      0.0310557      0.0453247
    5.68      0.0544899      0.0901995      0.0308174      0.0447738
    5.69       0.053977      0.0892105       0.030581      0.0442295
     5.7      0.0534691      0.0882323      0.0303464      0.0436918
    5.71      0.0529659      0.0872649      0.0301136      0.0431607
    5.72      0.0524674       0.086308      0.0298825       0.042636
    5.73      0.0519736      0.0853617      0.0296533      0.0421178
    5.74      0.0514845      0.0844257      0.0294258      0.0416058
    5.75          0.051         0.0835         0.0292         0.0411
    5.76      0.0504505      0.0825169      0.0287144      0.0406125
    5.77      0.0499069      0.0815453      0.0282369      0.0401309
    5.78      0.0493692      0.0805852      0.0277673      0.0396549
    5.79      0.0488372      0.0796363      0.0273055      0.0391846
     5.8       0.048311      0.0786987      0.0268514      0.0387198
    5.81      0.0477905      0.0777721      0.0264048      0.0382606
    5.82      0.0472755      0.0768564      0.0259657      0.0378068
    5.83      0.0467661      0.0759515      0.0255339      0.0373584
    5.84      0.0462623      0.0750572      0.0251092      0.0369153
    5.85      0.0457638      0.0741735      0.0246917      0.0364775
    5.86      0.0452707      0.0733001       0.024281      0.0360449
    5.87      0.0447829      0.0724371      0.0238772      0.0356174
    5.88      0.0443004      0.0715842      0.0234801      0.0351949
    5.89      0.0438231      0.0707414      0.0230896      0.0347775
     5.9      0.0433509      0.0699084      0.0227056       0.034365
    5.91      0.0428838      0.0690853       0.022328      0.0339574
    5.92      0.0424217      0.0682719      0.0219567      0.0335547
    5.93      0.0419646      0.0674681      0.0215916      0.0331567
    5.94      0.0415125      0.0666737      0.0212325      0.0327635
    5.95      0.0410652      0.0658886      0.0208794      0.0323749
    5.96      0.0406227      0.0651129      0.0205321      0.0319909
    5.97       0.040185      0.0643462      0.0201907      0.0316115
    5.98       0.039752      0.0635886      0.0198549      0.0312366
    5.99      0.0393237      0.0628399      0.0195247      0.0308661
       6         0.0389         0.0621         0.0192         0.0305
    6.01      0.0384297      0.0614118      0.0188911      0.0299774
    6.02      0.0379651      0.0607312      0.0185872      0.0294638
    6.03      0.0375061      0.0600582      0.0182882       0.028959
