# Fission Isotope Spectra
#  Huber model, as provided by Christine Lewis
#    P. Huber and T. Schwetz, Phys. Rev. D70, 053011 (2004)
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#Enu     dNdE_U235    dNdE_U238   dNdE_Pu239   dNdE_Pu241
3.800 3.514027e-01 5.201233e-01 2.476640e-01 3.334343e-01
3.810 3.484723e-01 5.164281e-01 2.449875e-01 3.308115e-01
3.820 3.455663e-01 5.127591e-01 2.423398e-01 3.282094e-01
3.830 3.426846e-01 5.091161e-01 2.397208e-01 3.256277e-01
3.840 3.398268e-01 5.054991e-01 2.371301e-01 3.230664e-01
3.850 3.369929e-01 5.019077e-01 2.345673e-01 3.205251e-01
3.860 3.340637e-01 4.983419e-01 2.318878e-01 3.179012e-01
3.870 3.311599e-01 4.948014e-01 2.292389e-01 3.152987e-01
3.880 3.282814e-01 4.912860e-01 2.266202e-01 3.127176e-01
3.890 3.254279e-01 4.877956e-01 2.240315e-01 3.101576e-01
3.900 3.225992e-01 4.843301e-01 2.214723e-01 3.076185e-01
3.910 3.196713e-01 4.808891e-01 2.187898e-01 3.049933e-01
3.920 3.167701e-01 4.774726e-01 2.161398e-01 3.023904e-01
3.930 3.138952e-01 4.740804e-01 2.135219e-01 2.998098e-01
3.940 3.110464e-01 4.707122e-01 2.109357e-01 2.972512e-01
3.950 3.082234e-01 4.673680e-01 2.083808e-01 2.947145e-01
3.960 3.053363e-01 4.640476e-01 2.058386e-01 2.921035e-01
3.970 3.024762e-01 4.607507e-01 2.033274e-01 2.895157e-01
3.980 2.996429e-01 4.574773e-01 2.008468e-01 2.869508e-01
3.990 2.968362e-01 4.542271e-01 1.983964e-01 2.844086e-01
4.000 2.940558e-01 4.510000e-01 1.959760e-01 2.818890e-01
4.010 2.914382e-01 4.472971e-01 1.942921e-01 2.793758e-01
4.020 2.888439e-01 4.436247e-01 1.926227e-01 2.768850e-01
4.030 2.862727e-01 4.399824e-01 1.909676e-01 2.744164e-01
4.040 2.837245e-01 4.363700e-01 1.893268e-01 2.719698e-01
4.050 2.811989e-01 4.327872e-01 1.877000e-01 2.695450e-01
4.060 2.786195e-01 4.292339e-01 1.861566e-01 2.670457e-01
4.070 2.760639e-01 4.257098e-01 1.846259e-01 2.645695e-01
4.080 2.735316e-01 4.222145e-01 1.831078e-01 2.621163e-01
4.090 2.710226e-01 4.187480e-01 1.816022e-01 2.596859e-01
4.100 2.685367e-01 4.153100e-01 1.801090e-01 2.572780e-01
4.110 2.659556e-01 4.119001e-01 1.785645e-01 2.547762e-01
4.120 2.633993e-01 4.085183e-01 1.770333e-01 2.522988e-01
4.130 2.608676e-01 4.051642e-01 1.755152e-01 2.498454e-01
4.140 2.583603e-01 4.018377e-01 1.740102e-01 2.474159e-01
4.150 2.558770e-01 3.985385e-01 1.725180e-01 2.450100e-01
4.160 2.532937e-01 3.952663e-01 1.709724e-01 2.425057e-01
4.170 2.507365e-01 3.920211e-01 1.694406e-01 2.400271e-01
4.180 2.482052e-01 3.888025e-01 1.679225e-01 2.375737e-01
4.190 2.456994e-01 3.856103e-01 1.664180e-01 2.351454e-01
4.200 2.432188e-01 3.824443e-01 1.649270e-01 2.327420e-01
4.210 2.406966e-01 3.793043e-01 1.633487e-01 2.302726e-01
4.220 2.382005e-01 3.761901e-01 1.617855e-01 2.278293e-01
4.230 2.357302e-01 3.731014e-01 1.602372e-01 2.254120e-01
4.240 2.332856e-01 3.700381e-01 1.587038e-01 2.230203e-01
4.250 2.308664e-01 3.670000e-01 1.571850e-01 2.206540e-01
4.260 2.287185e-01 3.637091e-01 1.554154e-01 2.184073e-01
4.270 2.265907e-01 3.604476e-01 1.536657e-01 2.161835e-01
4.280 2.244826e-01 3.572155e-01 1.519357e-01 2.139823e-01
4.290 2.223941e-01 3.540123e-01 1.502252e-01 2.118036e-01
4.300 2.203251e-01 3.508378e-01 1.485340e-01 2.096470e-01
4.310 2.182383e-01 3.476918e-01 1.467305e-01 2.074356e-01
4.320 2.161713e-01 3.445740e-01 1.449490e-01 2.052476e-01
4.330 2.141239e-01 3.414842e-01 1.431890e-01 2.030826e-01
4.340 2.120958e-01 3.384220e-01 1.414505e-01 2.009405e-01
4.350 2.100870e-01 3.353874e-01 1.397330e-01 1.988210e-01
4.360 2.079989e-01 3.323799e-01 1.379265e-01 1.966068e-01
4.370 2.059315e-01 3.293994e-01 1.361433e-01 1.944173e-01
4.380 2.038847e-01 3.264456e-01 1.343832e-01 1.922522e-01
4.390 2.018583e-01 3.235184e-01 1.326459e-01 1.901112e-01
4.400 1.998520e-01 3.206173e-01 1.309310e-01 1.879940e-01
4.410 1.977621e-01 3.177423e-01 1.291215e-01 1.857769e-01
4.420 1.956941e-01 3.148931e-01 1.273369e-01 1.835860e-01
4.430 1.936477e-01 3.120694e-01 1.255771e-01 1.814209e-01
4.440 1.916228e-01 3.092710e-01 1.238416e-01 1.792813e-01
4.450 1.896190e-01 3.064978e-01 1.221300e-01 1.771670e-01
4.460 1.875762e-01 3.037494e-01 1.203906e-01 1.750139e-01
4.470 1.855555e-01 3.010256e-01 1.186759e-01 1.728870e-01
4.480 1.835565e-01 2.983263e-01 1.169856e-01 1.707859e-01
4.490 1.815791e-01 2.956511e-01 1.153194e-01 1.687103e-01
4.500 1.796230e-01 2.930000e-01 1.136770e-01 1.666600e-01
4.510 1.778768e-01 2.902769e-01 1.123757e-01 1.649050e-01
4.520 1.761475e-01 2.875791e-01 1.110894e-01 1.631685e-01
4.530 1.744351e-01 2.849063e-01 1.098178e-01 1.614503e-01
4.540 1.727393e-01 2.822584e-01 1.085607e-01 1.597502e-01
4.550 1.710600e-01 2.796351e-01 1.073180e-01 1.580680e-01
4.560 1.693612e-01 2.770362e-01 1.060881e-01 1.563778e-01
4.570 1.676793e-01 2.744614e-01 1.048724e-01 1.547058e-01
4.580 1.660140e-01 2.719106e-01 1.036705e-01 1.530515e-01
4.590 1.643653e-01 2.693835e-01 1.024825e-01 1.514150e-01
4.600 1.627330e-01 2.668798e-01 1.013080e-01 1.497960e-01
4.610 1.610324e-01 2.643995e-01 1.000764e-01 1.481038e-01
4.620 1.593496e-01 2.619422e-01 9.885972e-02 1.464307e-01
4.630 1.576844e-01 2.595077e-01 9.765786e-02 1.447765e-01
4.640 1.560366e-01 2.570958e-01 9.647062e-02 1.431410e-01
4.650 1.544060e-01 2.547064e-01 9.529780e-02 1.415240e-01
4.660 1.527035e-01 2.523392e-01 9.406426e-02 1.398295e-01
4.670 1.510197e-01 2.499939e-01 9.284668e-02 1.381553e-01
4.680 1.493545e-01 2.476705e-01 9.164486e-02 1.365011e-01
4.690 1.477077e-01 2.453687e-01 9.045860e-02 1.348668e-01
4.700 1.460790e-01 2.430882e-01 8.928770e-02 1.332520e-01
4.710 1.444463e-01 2.408290e-01 8.809441e-02 1.316270e-01
4.720 1.428319e-01 2.385907e-01 8.691706e-02 1.300219e-01
