# Fission Isotope Spectra
#  U235, Pu239, Pu241: Interpolation of reported ILL spectra
#  U238: Interpolation of Vogel's spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    5.62      0.0548038      0.0926518      0.0306802      0.0450685
    5.63      0.0542652      0.0916184      0.0303453      0.0444989
    5.64      0.0537319      0.0905966       0.030014      0.0439365
    5.65      0.0532038      0.0895861      0.0296863      0.0433812
    5.66      0.0526808      0.0885869      0.0293622      0.0428329
    5.67      0.0521631      0.0875989      0.0290416      0.0422916
    5.68      0.0516504      0.0866219      0.0287246      0.0417571
    5.69      0.0511428      0.0856558       0.028411      0.0412293
     5.7      0.0506401      0.0847004      0.0281008      0.0407083
    5.71      0.0501424      0.0837558       0.027794      0.0401938
    5.72      0.0496496      0.0828216      0.0274906      0.0396858
    5.73      0.0491616      0.0818979      0.0271905      0.0391842
    5.74      0.0486784      0.0809844      0.0268936       0.038689
    5.75         0.0482      0.0800812         0.0266         0.0382
    5.76      0.0476928       0.079188      0.0261701      0.0377066
    5.77       0.047191      0.0783048      0.0257471      0.0372195
    5.78      0.0466945      0.0774315       0.025331      0.0367388
    5.79      0.0462032      0.0765679      0.0249216      0.0362642
     5.8       0.045717      0.0757139      0.0245188      0.0357958
    5.81       0.045236      0.0748694      0.0241226      0.0353335
    5.82        0.04476      0.0740344      0.0237327      0.0348771
    5.83      0.0442891      0.0732087      0.0233491      0.0344266
    5.84      0.0438231      0.0723922      0.0229718      0.0339819
    5.85       0.043362      0.0715848      0.0226005       0.033543
    5.86      0.0429057      0.0707863      0.0222352      0.0331097
    5.87      0.0424543      0.0699969      0.0218759      0.0326821
    5.88      0.0420076      0.0692162      0.0215223      0.0322599
    5.89      0.0415656      0.0684442      0.0211745      0.0318432
     5.9      0.0411282      0.0676808      0.0208323      0.0314319
    5.91      0.0406955      0.0669259      0.0204956      0.0310259
    5.92      0.0402673      0.0661795      0.0201643      0.0306252
    5.93      0.0398436      0.0654414      0.0198384      0.0302296
    5.94      0.0394244      0.0647115      0.0195178      0.0298391
    5.95      0.0390095      0.0639898      0.0192024      0.0294537
    5.96      0.0385991      0.0632761       0.018892      0.0290733
    5.97      0.0381929      0.0625703      0.0185867      0.0286977
    5.98      0.0377911      0.0618725      0.0182863      0.0283271
    5.99      0.0373935      0.0611824      0.0179908      0.0279612
       6          0.037         0.0605         0.0177         0.0276
    6.01      0.0365366      0.0597154       0.017461      0.0271851
    6.02       0.036079       0.058941      0.0172252      0.0267765
    6.03      0.0356272      0.0581766      0.0169926       0.026374
    6.04       0.035181      0.0574222      0.0167632      0.0259775
    6.05      0.0347403      0.0566775      0.0165368       0.025587
    6.06      0.0343053      0.0559425      0.0163136      0.0252024
    6.07      0.0338756       0.055217      0.0160933      0.0248235
    6.08      0.0334513       0.054501       0.015876      0.0244504
    6.09      0.0330324      0.0537942      0.0156616      0.0240829
     6.1      0.0326187      0.0530966      0.0154501      0.0237208
    6.11      0.0322102       0.052408      0.0152415      0.0233643
    6.12      0.0318068      0.0517283      0.0150357      0.0230131
    6.13      0.0314084      0.0510575      0.0148327      0.0226671
    6.14       0.031015      0.0503954      0.0146324      0.0223264
    6.15      0.0306266      0.0497418      0.0144348      0.0219908
    6.16       0.030243      0.0490968      0.0142399      0.0216602
    6.17      0.0298643      0.0484601      0.0140476      0.0213346
    6.18      0.0294902      0.0478316       0.013858      0.0210139
    6.19      0.0291209      0.0472113      0.0136708       0.020698
     6.2      0.0287562      0.0465991      0.0134862      0.0203869
    6.21       0.028396      0.0459948      0.0133041      0.0200804
    6.22      0.0280404      0.0453983      0.0131245      0.0197786
    6.23      0.0276892      0.0448096      0.0129473      0.0194813
    6.24      0.0273424      0.0442285      0.0127725      0.0191884
    6.25          0.027      0.0436549         0.0126         0.0189
    6.26      0.0266937      0.0430888      0.0124532      0.0186691
    6.27      0.0263909        0.04253      0.0123081      0.0184411
    6.28      0.0260915      0.0419784      0.0121647      0.0182158
    6.29      0.0257956       0.041434       0.012023      0.0179933
     6.3      0.0255029      0.0408967      0.0118829      0.0177735
    6.31      0.0252136      0.0403664      0.0117444      0.0175564
    6.32      0.0249276      0.0398429      0.0116076      0.0173419
    6.33      0.0246448      0.0393262      0.0114724      0.0171301
    6.34      0.0243653      0.0388162      0.0113387      0.0169208
    6.35      0.0240889      0.0383128      0.0112066      0.0167141
    6.36      0.0238156       0.037816       0.011076      0.0165099
    6.37      0.0235455      0.0373255       0.010947      0.0163082
    6.38      0.0232784      0.0368415      0.0108194       0.016109
    6.39      0.0230143      0.0363637      0.0106934      0.0159122
     6.4      0.0227532      0.0358922      0.0105688      0.0157179
    6.41      0.0224951      0.0354267      0.0104456      0.0155259
    6.42      0.0222399      0.0349673      0.0103239      0.0153362
    6.43      0.0219877      0.0345138      0.0102037      0.0151489
    6.44      0.0217382      0.0340662      0.0100848      0.0149638
